Algoritmo,Tamanho,Comparações (Aleatório),Comparações (Ordenado),Comparações (Reverso),Trocas (Aleatório),Trocas (Ordenado),Trocas (Reverso),Tempo (Aleatório),Tempo (Ordenado),Tempo (Reverso)
Selection Sort,10,45,45,45,7,0,5,0.07,0.08,0.02
Selection Sort,20,190,190,190,17,0,10,0.02,0.01,0.03
Selection Sort,30,435,435,435,27,0,15,0.01,0.00,0.01
Selection Sort,40,780,780,780,36,0,20,0.01,0.00,0.01
Selection Sort,50,1225,1225,1225,46,0,25,0.02,0.01,0.01
Selection Sort,60,1770,1770,1770,54,0,30,0.02,0.03,0.01
Selection Sort,70,2415,2415,2415,67,0,35,0.02,0.01,0.02
Selection Sort,80,3160,3160,3160,72,0,40,0.04,0.01,0.02
Selection Sort,90,4005,4005,4005,85,0,45,0.04,0.01,0.03
Selection Sort,100,4950,4950,4950,92,0,50,0.02,0.02,0.02
Selection Sort,110,5995,5995,5995,107,0,55,0.03,0.02,0.03
Selection Sort,120,7140,7140,7140,117,0,60,0.03,0.02,0.03
Selection Sort,130,8385,8385,8385,125,0,65,0.04,0.03,0.03
Selection Sort,140,9730,9730,9730,135,0,70,0.04,0.06,0.04
Selection Sort,150,11175,11175,11175,143,0,75,0.05,0.04,0.04
Selection Sort,160,12720,12720,12720,150,0,80,0.08,0.04,0.05
Selection Sort,170,14365,14365,14365,163,0,85,0.08,0.05,0.06
Selection Sort,180,16110,16110,16110,177,0,90,0.07,0.05,0.06
Selection Sort,190,17955,17955,17955,183,0,95,0.07,0.06,0.07
Selection Sort,200,19900,19900,19900,191,0,100,0.08,0.07,0.08
Selection Sort,210,21945,21945,21945,205,0,105,0.13,0.07,0.08
Selection Sort,220,24090,24090,24090,215,0,110,0.10,0.08,0.11
Selection Sort,230,26335,26335,26335,224,0,115,0.11,0.09,0.10
Selection Sort,240,28680,28680,28680,236,0,120,0.12,0.10,0.11
Selection Sort,250,31125,31125,31125,246,0,125,0.12,0.10,0.12
Selection Sort,260,33670,33670,33670,256,0,130,0.13,0.11,0.13
Selection Sort,270,36315,36315,36315,265,0,135,0.14,0.12,0.14
Selection Sort,280,39060,39060,39060,274,0,140,0.15,0.13,0.18
